State,City,n_obs,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Max_AQI
Minnesota,Blaine,915,15.812021857923497,33.7672131147541,1.1475409836065573,3.4561797752808987,34.787978142076504
New Hampshire,Not in a city,504,6.942460317460317,34.71626984126984,1.0337301587301588,2.263888888888889,34.78769841269841
California,Pittsburg,3269,20.47353930865708,31.38482716427042,9.01345977363108,6.883756500458856,34.63046803303762
Texas,Deer Park,1919,14.445544554455445,34.07191245440333,2.5987493486190725,2.384856396866841,34.57477853048463
California,Goleta,3324,17.97442839951865,33.12364620938628,1.5553549939831528,3.7826610475617097,34.50992779783393
California,Bethel Island,5849,13.072320054710207,33.6544708497179,3.8606599418704053,4.219524705077791,34.47785946315609
Country Of Mexico,Rosarito,433,24.58891454965358,30.330254041570438,2.3903002309468824,8.97459584295612,34.44572748267898
Texas,San Antonio,894,19.61185682326622,33.06711409395973,2.605145413870246,4.957446808510638,34.26286353467562
Massachusetts,Boston,5235,29.313658070678127,25.663228271251192,7.641642788920726,5.143867023309133,34.05539637058261
California,Concord,5922,18.7951705504897,31.42468760553867,3.1089159067882473,6.099290780141844,33.926376224248564
Iowa,Davenport,2708,13.991506646971935,33.204025110782865,2.4047267355982274,2.8898743532889872,33.715657311669126
Wisconsin,Milwaukee,379,26.16622691292876,27.321899736147756,8.279683377308707,5.24802110817942,33.54089709762533
California,Benicia,640,13.7546875,32.5140625,6.778125,3.61875,33.353125
California,San Jose,2609,23.38827136834036,28.15254886929858,0.4695285550019164,6.00191644308164,32.9440398620161
New York,Not in a city,1023,3.386119257086999,32.63734115347019,2.7546432062561097,1.6996086105675148,32.66959921798632
California,Crockett,473,22.063424947145876,29.733615221987314,9.006342494714588,6.3594080338266386,32.41860465116279
California,Lompoc,5800,10.686551724137932,31.78844827586207,1.7575862068965518,3.970344827586207,31.951551724137932
Texas,Not in a city,842,12.78978622327791,31.140142517814727,7.133016627078385,2.7719714964370548,31.934679334916865
California,San Francisco,3611,27.171143727499306,22.61838825810025,5.308501800055386,8.155912489615066,31.792855164774302
California,Vallejo,5920,19.313851351351353,27.462162162162162,2.6516891891891894,7.772297297297297,30.771621621621623
North Dakota,Not in a city,2755,12.426134301270418,29.978947368421053,0.41234119782214157,2.053357531760436,30.59927404718693
Maine,Portland,2538,19.400315208825848,28.1725768321513,5.1465721040189125,4.633569739952718,30.570133963750987
California,Oakland,2437,25.37217890849405,23.533442757488714,3.318424292162495,8.89700451374641,30.56668034468609
California,Cupertino,1207,16.901408450704224,28.167357083678542,2.3189726594863296,5.260149130074565,30.00579950289975
California,San Pablo,5490,20.97632058287796,25.840437158469946,4.639344262295082,6.1792349726775955,29.224225865209473
California,Davenport,3340,9.503592814371258,28.0562874251497,3.2982035928143714,4.744311377245509,28.250299401197605
Maine,Presque Isle,3373,5.1710643344203975,27.996738808182627,1.3608064037948413,1.9219121140142519,28.08775570708568
